,0
423,CCCCCCCCC(O)=O
424,CCCCCCCCCCCCCC
425,CCCCCCOCC(C)=O
426,COC1CCC(CO)OO1
427,CCC(CO)CC(O)=O
428,OCC1=CC=C(C=O)O1
429,CC1=CC=C(C=O)C=C1
430,CCOC1=CC=C(O)C=C1
431,OC1=CC=CC(C=O)=C1
432,OCC1=CC=CC(O)=C1
433,COC1=CC=C(CO)C=C1
434,OC1=CC=C(C=C)C=C1
435,CCCC(CC=C)C(O)=O
436,CCCC(C)C(O)=O
437,CCOC1=CC=CC(O)=C1
438,CCCC1=CC=CC(O)=C1
439,CC1=CC=CC(C)=C1C
440,COC1=C(O)C=CC=C1O
441,CC1=CC1C(O)=O
442,CCC(CO)C(O)=O
443,CCCCCCCCCCC=C
444,CC(C)(C)C(O)=O
445,COC1=CC=CC(C=O)=C1
446,CC(C)CCC(O)=O
447,CCCCCCCCCCC=O
448,OCCOCCOCCOCCO
449,CCC(O)OC(O)CC
450,CCCCCCCCC1CO1
451,CC1=CC=CC(O)=C1C
452,CCC(C)CC(O)=O
453,COCCOCOC(C)=C
454,CC1CC=CC(O)C1
455,CCCCCOCC(O)CO
456,CCC(C)(C)OC=O
457,CCCCCCOCCOCCO
458,CC1=C(O)C=CC=C1O
459,CCCCCCCC(C)=O
460,CC1=CC=C(C=O)O1
461,CC(C)(C)OCCCO
462,CCCCCCOC(C)=O
463,CCCOCCOCCOCCO
464,CCC(C)OC(C)CC
465,C=COCCOCCOC=C
466,COCCOCC(OC)OC
467,CCC(CO)(CO)CO
468,CC1CCC(CO)CC1
469,CCCC=C(CC)C=O
470,CC(O)COCC(C)O
471,CCCC(C)C(O)CC
472,OCC(CO)(CO)CO
473,CCCCCC(CO)CCC
474,OCCOCC#CCOCCO
475,CC(O)C#CC(C)O
476,CC(C)=CC(C)=O
477,CCC1=CC=CC(CC)=C1O
478,CCC=C(C)C(O)=O
479,CC(O)C=CC(O)=O
480,CC(C)C1CCOC1=O
481,CC(CO)=CC(O)=O
482,OCC1=CC(O)=CC=C1O
483,CCCCCC1CCOC1=O
484,COC1=CC(O)=CC=C1O
485,CC1=CC=CC(O)=C1O
486,CCCCCCCCC=CC=O
487,O=CC=CC1=CC=CO1
488,CCCCCCCCC=CCO
489,CC=C(C)C(C)=O
490,CCCCCC=CC=CC=O
491,CCCCC=CC=CC=O
492,CC1OOC(CO)C=C1
493,OC1CCCCCC1C#C
494,OC1=CC=CC=CC1=O
495,OC1COC(O)C(O)C1O
496,CCOC1=CC=CC(C=O)=C1
497,CCCCCCCCCCCCCCCO
498,CCCCCCCCC(OC)OOC
499,CC(C)C1=CC=C(O)C=C1
500,COC1=CC=C(OCCO)C=C1
501,CCCCCCCCCC(O)=O
502,COC1=CC=CC(OC)=C1O
503,CC1=CC(O)=CC(O)=C1
504,CCCCC1=CC=C(O)C=C1
505,CCCC1=CC=C(CO)C=C1
506,CC1=CC=C(O)C(O)=C1
507,COC1=CC=C(C=O)C=C1
508,COCCOOC(C)(C)OC
509,CCCC(CO)CC(O)=O
510,CC1=CC=C(C)C(O)=C1
511,CC1=CC(C)=CC(O)=C1
512,CCCOC1=CC=C(O)C=C1
513,CCC(C)(C)C(O)=O
514,CCCCCCCC#CC#CCO
515,CCCCC1=CC=CC(O)=C1
516,OC1=CC(O)=CC(O)=C1
517,CC(C)CC(C)(C)C
518,CCCCCCCCCCC(C)O
519,COCCOCCOCCOCCO
520,CC(C)(O)C(O)=O
521,CC1=CC=CC(C=C)=C1
522,CCCC(O)C(CC)CO
523,CCC(O)C(C)(C)C
524,COC1=CC=CC(O)=C1O
525,COC1=CC=C(OC)C=C1
526,CCC(C)CCC(O)=O
527,CCCCC(C)C(O)=O
528,CC1=CC=CC(C)=C1CO
529,CC1(C)OCC=CCO1
530,CC(O)CC(C)(C)O
531,CCCCOCCOC(C)=O
532,CC(C)C(O)C(C)C
533,CCCCCCCCCCCC=O
534,COC1=CC=CC(OC)=C1
535,CCCCCCCOC(C)=O
536,CCCCC1=CCOC1=O
537,COCC(C)OC(C)=O
538,CC(C)CCCC(O)=O
539,OCC1CCC(CO)CC1
540,OCC1(CO)COCOC1
541,C=CCCCCCCCCC=O
542,CCCCOCCOCCOCCO
543,CCCCC(CC)COCCO
544,CCCCCCCCCCCC=C
545,CC1=CC=C(C=C)C=C1
546,CCC1(CO)COCOC1
547,CCC(C)COC(C)=O
548,CCC1=CC=C(CC)C=C1
549,CCC1=C(O)C=CC=C1O
550,COC1=CC=CC(C=O)=C1O
551,COC1=CC(C=O)=CC=C1O
552,CCCC1=CC=CC(CC)=C1O
553,CCC=C(CC)C(O)=O
554,CC=CC1=CC=C(O)C=C1
555,CCCCCCC=CC(C)=O
556,OC1=CC=C(C=O)C=C1O
557,COCC1=CC(O)=CC=C1O
558,COC1=CC=C(C)C=C1OC
559,CCC1(CC)CCOC1=O
560,O=C1OCCC12CCCC2
561,CCCCCC(O)C=CC=O
562,CCCCCCC1CCOC1=O
563,OC1=CC=CC(C=O)=C1O
564,O=C1CCC2CCC1C2
565,CCC1=CC=C(O)C=C1O
566,CCCC=CCOC(C)=O
567,CCC=CCCOC(C)=O
568,CCCCCCCCCC=CCO
569,COC1=CC(C)=CC=C1O
570,C1=CC2=CC=CC=CC2=C1
571,CC1CCCC12CCOC2=O
572,CC1CC12CCOC2=O
573,CC1OOC(CCCO)C=C1
574,CC1CC12CCOC2=O
575,CC1CC(O)C=CC1=O
576,COC1C(O)CCCC1=O
577,COCCC1CC=CC1OC
578,O=C1CC2C=CCC2O1
579,OCC(O)C1CCC(CO)O1
580,OCC(O)C(O)C(O)CO
581,CC1CC(O)C(O)CO1
582,CC1CC(O)C(O)CO1
